title,author,genre,rating,mood_tags
Normal People,Author of Normal People,literary fiction,4.2,"reflective, emotional, deep"
A Little Life,Author of A Little Life,literary fiction,3.8,"reflective, emotional, deep"
The Kite Runner,Author of The Kite Runner,literary fiction,4.4,"reflective, emotional, deep"
Beloved,Author of Beloved,literary fiction,3.8,"reflective, emotional, deep"
Pachinko,Author of Pachinko,literary fiction,4.0,"reflective, emotional, deep"
The Road,Author of The Road,literary fiction,4.8,"reflective, emotional, deep"
Americanah,Author of Americanah,literary fiction,3.8,"reflective, emotional, deep"
It,Author of It,horror,3.6,"dark, tense, unsettling"
The Shining,Author of The Shining,horror,3.6,"dark, tense, unsettling"
Dracula,Author of Dracula,horror,4.9,"dark, tense, unsettling"
Frankenstein,Author of Frankenstein,horror,4.3,"dark, tense, unsettling"
House of Leaves,Author of House of Leaves,horror,4.1,"dark, tense, unsettling"
Mexican Gothic,Author of Mexican Gothic,horror,4.7,"dark, tense, unsettling"
Bird Box,Author of Bird Box,horror,4.8,"dark, tense, unsettling"
The Haunting of Hill House,Author of The Haunting of,horror,4.0,"dark, tense, unsettling"
NOS4A2,Author of NOS4A2,horror,4.5,"dark, tense, unsettling"
The Terror,Author of The Terror,horror,4.7,"dark, tense, unsettling"
Dune,Author of Dune,sci-fi,4.5,"curious, dark, imaginative"
The Martian,Author of The Martian,sci-fi,3.7,"curious, dark, imaginative"
Ender's Game,Author of Ender's Game,sci-fi,4.8,"curious, dark, imaginative"
Neuromancer,Author of Neuromancer,sci-fi,4.3,"curious, dark, imaginative"
Foundation,Author of Foundation,sci-fi,3.9,"curious, dark, imaginative"
The Left Hand of Darkness,Author of The Left Hand o,sci-fi,4.1,"curious, dark, imaginative"
Snow Crash,Author of Snow Crash,sci-fi,3.6,"curious, dark, imaginative"
Hyperion,Author of Hyperion,sci-fi,3.7,"curious, dark, imaginative"
Red Rising,Author of Red Rising,sci-fi,4.6,"curious, dark, imaginative"
Project Hail Mary,Author of Project Hail Ma,sci-fi,3.5,"curious, dark, imaginative"
